feedback_id,feedback,course,subject,semester,rating,feedback_date
MON001,I am terrified that I will fail tomorrow's exam.,Computer Science,Algorithms,3,2,2026-09-01
MON002,I feel anxious about presenting my project in front of everyone.,Engineering,Design,3,3,2026-09-02
MON003,I am worried about finishing these assignments before the deadline.,Computer Science,Algorithms,3,2,2026-09-03
MON004,The exam schedule makes me nervous and I cannot sleep.,Engineering,Mathematics,3,2,2026-09-04
MON005,I fear that I have misunderstood everything in this module.,Computer Science,Algorithms,3,1,2026-09-05
MON006,Please upload the lecture notes.,New Course,Statistics,5,3,2026-09-06
MON007,The next class is scheduled for Monday.,New Course,Statistics,5,3,2026-09-07
MON008,I am uncertain about what the assessment will cover.,,Statistics,5,,2026-09-08
MON009,I loved the practical class and enjoyed solving the problem.,Engineering,Design,3,5,2026-09-09
MON010,I am so disappointed that the workshop was cancelled.,New Course,,5,2,2026-09-10
MON011,I am scared I will forget the formulas under pressure.,Computer Science,Mathematics,3,2,2026-09-11
MON012,Thank you for helping me prepare for the presentation.,Engineering,Design,3,5,2026-09-12
