feedback,true_emotion,course,subject,semester
"Our group followed the published rules, yet the marker penalized us for requirements that were never announced.",anger,Science,Research Methods,Semester 2
I have asked three times for the grading calculation to be corrected and nobody will acknowledge the mistake.,anger,Humanities,Communication,Semester 2
The lecturer mocked a reasonable question in front of everyone; that treatment is unacceptable.,anger,Professional Studies,Design,Semester 2
"We were promised equal access to the equipment, but the same group was allowed to keep it all afternoon.",anger,Science,Research Methods,Semester 2
Changing the project deadline after we arranged our work schedules was deeply unfair.,anger,Humanities,Communication,Semester 2
The department charged us for materials that never arrived and has ignored every request for an explanation.,anger,Professional Studies,Design,Semester 2
I put considerable effort into that report and resent being accused of copying without any evidence.,anger,Science,Research Methods,Semester 2
The reused lab goggles were covered in sticky residue; I could not bring myself to put them on.,disgust,Science,Research Methods,Semester 2
"The case study treated humiliating employees as a clever business tactic, which I found repellent.",disgust,Humanities,Communication,Semester 2
Finding old food and insects beside the shared practical equipment made the room unbearable.,disgust,Professional Studies,Design,Semester 2
The examples relied on degrading stereotypes about people; I wanted nothing to do with that discussion.,disgust,Science,Research Methods,Semester 2
"The specimen trays had not been cleaned, and the smell made me turn away from the demonstration.",disgust,Humanities,Communication,Semester 2
I found the celebration of cheating in the guest speaker's story morally revolting.,disgust,Professional Studies,Design,Semester 2
The workshop handouts used dehumanizing descriptions of vulnerable people; reading them left a bad taste.,disgust,Science,Research Methods,Semester 2
I keep imagining freezing during the viva even though I have practiced the material many times.,fear,Science,Research Methods,Semester 2
"With so much of the grade depending on one test, I worry that a small mistake could undo the whole semester.",fear,Humanities,Communication,Semester 2
I hesitate to enter the lab because I am not confident that I can operate the machinery safely yet.,fear,Professional Studies,Design,Semester 2
I am dreading presenting alone to the panel and keep losing my place when I rehearse.,fear,Science,Research Methods,Semester 2
The assessment instructions are so unclear that I am afraid I will unknowingly break a rule.,fear,Humanities,Communication,Semester 2
I worry about falling behind again when the next unit starts before I have understood this one.,fear,Professional Studies,Design,Semester 2
I feel on edge waiting for the practical assessment because I do not know what tasks we will be given.,fear,Science,Research Methods,Semester 2
"When our experiment finally worked, the whole group celebrated; I left class feeling that the effort had paid off.",joy,Science,Research Methods,Semester 2
I am delighted that I can now build something useful with the techniques we learned.,joy,Humanities,Communication,Semester 2
The discussion was so engaging that I kept talking about it with friends on the way home.,joy,Professional Studies,Design,Semester 2
Seeing my first design take shape in the studio gave me a real sense of accomplishment.,joy,Science,Research Methods,Semester 2
I enjoyed the collaborative exercise and looked forward to coming back for the next session.,joy,Humanities,Communication,Semester 2
The tutor's encouraging response made sharing my ideas feel rewarding rather than awkward.,joy,Professional Studies,Design,Semester 2
I was thrilled to see how much my writing had improved between the first draft and the final report.,joy,Science,Research Methods,Semester 2
The module has two lectures each week and a tutorial on alternate Fridays.,neutral,Science,Research Methods,Semester 2
Please include the room number alongside each session in the online timetable.,neutral,Humanities,Communication,Semester 2
The reading list is organized by topic; an author index would provide another way to search it.,neutral,Professional Studies,Design,Semester 2
I attended the morning practical and submitted the worksheet through the course portal.,neutral,Science,Research Methods,Semester 2
"The first part covers measurement, followed by a unit on interpreting the collected data.",neutral,Humanities,Communication,Semester 2
It would be useful to state whether the appendix counts toward the report word limit.,neutral,Professional Studies,Design,Semester 2
The seminar discussed three examples before moving on to the assigned reading.,neutral,Science,Research Methods,Semester 2
"I had hoped this subject would renew my interest, but I finished the term feeling disappointed and disconnected.",sadness,Science,Research Methods,Semester 2
"After working on the proposal for weeks, seeing it dismissed without discussion left me feeling deflated.",sadness,Humanities,Communication,Semester 2
I miss the small tutorial group we had before the classes were merged.,sadness,Professional Studies,Design,Semester 2
It was disheartening to realize that the topic I cared most about would not be covered this year.,sadness,Science,Research Methods,Semester 2
I felt left out when the project groups formed and nobody asked me to join.,sadness,Humanities,Communication,Semester 2
"The course ended before we could complete our exhibition, and I felt a real sense of loss about that.",sadness,Professional Studies,Design,Semester 2
Receiving another brief rejection of my draft made all that work feel rather pointless.,sadness,Science,Research Methods,Semester 2
"I expected the optional workshop to repeat the lectures, but the completely different approach caught me off guard.",surprise,Science,Research Methods,Semester 2
I had no idea the simple model from class could predict the experimental result so closely.,surprise,Humanities,Communication,Semester 2
The guest speaker turned out to have designed the device we had been studying all semester.,surprise,Professional Studies,Design,Semester 2
I was taken aback when the final assignment asked for a podcast instead of the usual written report.,surprise,Science,Research Methods,Semester 2
The demonstration produced the opposite result from what almost everyone in the room had predicted.,surprise,Humanities,Communication,Semester 2
I did not expect my classmates to interpret the same passage in so many different ways.,surprise,Professional Studies,Design,Semester 2
Discovering that the two apparently unrelated topics used the same underlying method was unexpected.,surprise,Science,Research Methods,Semester 2
